id,question_id,code,text,sort_order,is_other,created_at
1,1,awkward_speech,말이 어색했다.,1,false,2026-08-10T03:59:55.147745+00:00
2,1,slow_response,반응이 느렸다.,2,false,2026-08-10T03:59:55.147745+00:00
3,1,different_info,다른 사람들과 다른 정보를 아는 것 같았다.,3,false,2026-08-10T03:59:55.147745+00:00
4,1,just_a_feeling,그냥 감이었다.,4,false,2026-08-10T03:59:55.147745+00:00
5,1,other,기타,5,true,2026-08-10T03:59:55.147745+00:00
7,4,same_phrases,매번 비슷한 말투나 문구를 썼다.,1,false,2026-08-28T08:15:46.137441+00:00
8,4,too_vague,아무도 콕 집지 않고 두루뭉술하게만 말했다.,2,false,2026-08-28T08:15:46.137441+00:00
9,4,off_context,상황에 안 맞는 말을 했다.,3,false,2026-08-28T08:15:46.137441+00:00
10,4,knows_too_much,다른 사람들과 다른 정보를 아는 것 같았다.,4,false,2026-08-28T08:15:46.137441+00:00
11,4,other,기타,5,true,2026-08-28T08:15:46.137441+00:00
